position_action,angle_action,gripper_position,gripper_angle,gripper_velocity,gripper_angular_velocity,target_position,target_angle,target_velocity,target_angular_velocity,closest_point,contact_force,rewards,finger1_min_dists,finger2_min_dists,finger3_min_dists,num_contact_points,fingertip_num_contact_points,accumulated_contact_force,totalLateralFrictionForce
[-0.05399096  0.9941428   0.909652  ],[0.42430925 0.9028089  0.6746372 ],[-1.07981802e-04  1.98828588e-03  1.00181930e+00],[0.00860875 0.01799764 0.01420773],[-0.02591569  0.47718849  0.43663296],[2.03390714 4.33478206 3.2382565 ],[0.14288931 0.97246005 1.19307676],[ 0. -0.  0.],[0.08306071 0.04816147 0.00213083],[0. 0. 0.],0.8263681592774428,0,1.3191656541735441,[0.80986735 0.78435714 0.75325423],[0.8060841  0.78096998 0.7488274 ],[0.76671756 0.7420226  0.71145869],0,[0 0 0],0,[0 0 0]
[0.10138667 0.99247646 0.8910496 ],[0.30885375 0.87142825 0.5286002 ],[9.47916635e-05 3.97323884e-03 1.00360140e+00],[0.01487427 0.03539816 0.02481944],[0.04866563 0.47638871 0.42770378],[1.42144125 4.20466686 2.50659517],[0.14323533 0.97266068 1.19308563],[ 0. -0.  0.],[0.08304553 0.04815268 0.00213044],[0. 0. 0.],0.8242796025652124,0,1.2991560368964081,[0.80727092 0.78171515 0.75067494],[0.80290512 0.7777412  0.74565635],[0.76518809 0.74040627 0.70989426],0,[0 0 0],0,[0 0 0]
[0.06273663 0.99221754 0.88350344],[0.26134157 0.8396559  0.44773722],[2.20264510e-04 5.95767360e-03 1.00536841e+00],[0.0201686  0.05217474 0.03379448],[0.03011348 0.47626434 0.42408203],[1.15091253 4.06185206 2.09833298],[0.14358129 0.97286128 1.19309451],[ 0. -0.  0.],[0.08303036 0.04814388 0.00213005],[0. 0. 0.],0.8222015634033822,0,1.2807711347509305,[0.80478798 0.77919727 0.74821151],[0.79994769 0.77473561 0.74271048],[0.76357814 0.73872776 0.70825465],0,[0 0 0],0,[0 0 0]
[0.05883622 0.9916191  0.87905884],[0.17082703 0.79568636 0.3818804 ],[3.37937012e-04 7.94091171e-03 1.00712653e+00],[0.02363453 0.06808289 0.04143077],[0.0282414  0.47597715 0.42194817],[0.68617253 3.84648197 1.78268336],[0.14392719 0.97306184 1.19310338],[ 0. -0.  0.],[0.0830152  0.04813509 0.00212966],[0. 0. 0.],0.8200913008274888,0,1.264303159608177,[0.8025141  0.77689911 0.74596421],[0.79728824 0.77204027 0.74006444],[0.76181083 0.73691131 0.70647891],0,[0 0 0],0,[0 0 0]
[0.04810572 0.99111843 0.87564373],[0.11847687 0.73596144 0.31080842],[4.34148092e-04 9.92314808e-03 1.00887782e+00],[0.02603721 0.08280126 0.04763614],[0.02309066 0.47573673 0.42030936],[0.41717967 3.5545106  1.44579997],[0.14427302 0.97326237 1.19311225],[ 0. -0.  0.],[0.08300003 0.04812629 0.00212927],[0. 0. 0.],0.8179864273580129,0,1.2497617823034233,[0.80033637 0.77470432 0.74381135],[0.79481453 0.76954076 0.73760064],[0.75995985 0.73502467 0.70462641],0,[0 0 0],0,[0 0 0]
[0.05206192 0.9906666  0.8720007 ],[0.06831956 0.6714008  0.2544235 ],[5.38271558e-04 1.19044812e-02 1.01062182e+00],[0.02742508 0.09623112 0.05270803],[0.02498963 0.47551995 0.41856074],[0.16969695 3.23575099 1.18745683],[0.14461879 0.97346286 1.19312113],[ 0. -0.  0.],[0.08298487 0.0481175  0.00212888],[0. 0. 0.],0.8158780541049974,0,1.2370493120712975,[0.79824895 0.77260539 0.74174781],[0.79249891 0.76720706 0.735297  ],[0.7580307  0.73307046 0.70270204],0,[0 0 0],0,[0 0 0]
[0.05666351 0.9902878  0.8668295 ],[0.03369045 0.6036496  0.2037797 ],[6.51598196e-04 1.38850566e-02 1.01235548e+00],[0.02811199 0.10830671 0.05676607],[0.02719839 0.47533809 0.41607863],[0.00519631 2.90277511 0.95708634],[0.1449645  0.97366331 1.19312999],[ 0. -0.  0.],[0.08296971 0.04810871 0.00212849],[0. 0. 0.],0.8137768668874165,0,1.2260628740752701,[0.79621138 0.77056023 0.73973128],[0.79029055 0.76498639 0.73310031],[0.75605452 0.73107678 0.70073257],0,[0 0 0],0,[0 0 0]
[0.06338239 0.98995614 0.8617395 ],[0.00365233 0.53495    0.16460371],[7.78362648e-04 1.58649687e-02 1.01407896e+00],[0.02819282 0.1190085  0.06004108],[0.03042347 0.4751789  0.41363536],[-0.13068036  2.56517675  0.78379524],[0.14531014 0.97386373 1.19313886],[ 0. -0.  0.],[0.08295456 0.04809993 0.0021281 ],[0. 0. 0.],0.8116784114460375,0,1.216687131628043,[0.79421734 0.7685614  0.7377566 ],[0.78816527 0.76285287 0.7309868 ],[0.75404057 0.72905078 0.6987273 ],0,[0 0 0],0,[0 0 0]
[0.07108164 0.98966527 0.8567257 ],[-0.01745903  0.4673922   0.13173997],[9.20525570e-04 1.78442991e-02 1.01579242e+00],[0.02784806 0.12835886 0.06266081],[0.0341191  0.47503929 0.41122882],[-0.21954616  2.2348292   0.63893963],[0.14565573 0.97406411 1.19314773],[ 0. -0.  0.],[0.08293941 0.04809114 0.00212771],[0. 0. 0.],0.8095863096262336,0,1.2088036070585209,[0.79224689 0.76658802 0.73580358],[0.78609361 0.76077583 0.72892634],[0.75200568 0.72700751 0.69670144],0,[0 0 0],0,[0 0 0]
[0.08100367 0.98941374 0.8522055 ],[-0.03368473  0.40625656  0.10739851],[0.00108253 0.01982313 1.01749683],[0.0271768  0.13648615 0.06479579],[0.0388818  0.4749186  0.40905864],[-0.28359007  1.93642034  0.53366387],[0.14600124 0.97426445 1.19315659],[ 0. -0.  0.],[0.08292426 0.04808236 0.00212733],[0. 0. 0.],0.8074986058727319,0,1.202211295159687,[0.79029367 0.76463313 0.73386666],[0.78405847 0.75873714 0.72690207],[0.74995724 0.72495305 0.69466233],0,[0 0 0],0,[0 0 0]
[0.09267068 0.9892082  0.8483052 ],[-0.04373002  0.35659587  0.0904665 ],[0.00126787 0.02180154 1.01919344],[0.02630373 0.14361996 0.06659392],[0.04448186 0.47481989 0.40718693],[-0.3194348   1.69480113  0.4607981 ],[0.1463467  0.97446476 1.19316545],[ 0. -0.  0.],[0.08290911 0.04807358 0.00212694],[0. 0. 0.],0.8054154790670026,0,1.196629415571794,[0.78834856 0.76268701 0.731937  ],[0.78204308 0.75671928 0.72489721],[0.7479036  0.72289472 0.6926179 ],0,[0 0 0],0,[0 0 0]
[0.10376406 0.98902893 0.8435192 ],[-0.05186659  0.30561972  0.07634723],[0.0014754  0.0237796  1.02088048],[0.02526728 0.14973394 0.06811155],[0.04980678 0.47473388 0.40488919],[-0.3442748   1.44746786  0.40058609],[0.14669209 0.97466503 1.19317431],[ 0. -0.  0.],[0.08289397 0.04806479 0.00212655],[0. 0. 0.],0.8033364434461069,0,1.1920549499384974,[0.78640913 0.760747   0.73001252],[0.78004033 0.75471469 0.72290477],[0.7458487  0.72083587 0.69057207],0,[0 0 0],0,[0 0 0]
[0.11568975 0.98884785 0.8385562 ],[-0.05675203  0.2582637   0.06099069],[0.00170678 0.0257573  1.02255759],[0.02413272 0.15490046 0.06932408],[0.05553102 0.47464693 0.40250737],[-0.35364698  1.21855796  0.3323221 ],[0.14703742 0.97486526 1.19318317],[ 0. -0.  0.],[0.08287883 0.04805602 0.00212616],[0. 0. 0.],0.8012655273349719,0,1.1884246962016682,[0.78446498 0.75880257 0.72808185],[0.77804297 0.75271616 0.72091669],[0.74379864 0.71878248 0.68852965],0,[0 0 0],0,[0 0 0]
[0.1281054 0.9886761 0.833789 ],[-0.06039238  0.21703947  0.04859209],[0.00196299 0.02773465 1.02422517],[0.02292501 0.15924218 0.0702903 ],[0.06149062 0.4745645  0.4002187 ],[-0.35826632  1.01950519  0.27723269],[0.14738268 0.97506546 1.19319203],[ 0. -0.  0.],[0.08286369 0.04804724 0.00212577],[0. 0. 0.],0.7992025934778879,0,1.1856062705582409,[0.78251563 0.75685317 0.72614478],[0.77604818 0.75072064 0.71893025],[0.7417543  0.71673515 0.68649164],0,[0 0 0],0,[0 0 0]
[0.13951123 0.9885526  0.82891107],[-0.06292433  0.18140602  0.04256892],[0.00224202 0.02971175 1.02588299],[0.02166663 0.1628711  0.07113714],[0.06696542 0.47450522 0.39787731],[-0.35889311  0.8477017   0.25167123],[0.14772789 0.97526562 1.19320089],[ 0. -0.  0.],[0.08284856 0.04803846 0.00212538],[0. 0. 0.],0.797143539602971,0,1.1834531291747423,[0.78056582 0.75490325 0.72420717],[0.7740526  0.74872426 0.7169429 ],[0.73971533 0.71469304 0.6844587 ],0,[0 0 0],0,[0 0 0]
[0.15124035 0.9884343  0.82393646],[-0.06335437  0.15075016  0.03652227],[0.0025445  0.03168862 1.02753087],[0.02039962 0.16588676 0.07186403],[0.0725954  0.47444845 0.39548948],[-0.35092183  0.70047854  0.22421275],[0.14807302 0.97546574 1.19320974],[ 0. -0.  0.],[0.08283343 0.04802969 0.002125  ],[0. 0. 0.],0.795090762191169,0,1.1818735046703592,[0.77861021 0.75294742 0.72226318],[0.77205262 0.74672343 0.71495059],[0.73768481 0.71265914 0.68243324],0,[0 0 0],0,[0 0 0]
[0.16297698 0.98832536 0.81891394],[-0.06354344  0.12446678  0.03185487],[0.00287045 0.03366527 1.0291687 ],[0.01912893 0.16837668 0.07249831],[0.07822889 0.4743961  0.39307915],[-0.3430312   0.57433701  0.20296064],[0.1484181  0.97566583 1.19321859],[ 0. -0.  0.],[0.0828183  0.04802092 0.00212461],[0. 0. 0.],0.7930436141198705,0,1.1807813938135356,[0.77664982 0.75098668 0.72031393],[0.77004861 0.74471849 0.71295381],[0.73566216 0.71063287 0.68041485],0,[0 0 0],0,[0 0 0]
[0.17460644 0.98822343 0.8138087 ],[-0.06279117  0.1020174   0.02776885],[0.00321966 0.03564172 1.03079631],[0.01787317 0.17041748 0.07305153],[0.08381112 0.47434724 0.39062815],[-0.33189597  0.46689724  0.18358256],[0.14876311 0.97586588 1.19322744],[ 0. -0.  0.],[0.08280318 0.04801215 0.00212422],[0. 0. 0.],0.7910027362653005,0,1.1801039279777694,[0.77468304 0.74901945 0.71835773],[0.7680394  0.74270825 0.71095122],[0.73364834 0.70861515 0.67840428],0,[0 0 0],0,[0 0 0]
[0.18615127 0.98812723 0.80863976],[-0.06187618  0.08290207  0.02449977],[0.00359197 0.03761797 1.03241359],[0.01663581 0.17207594 0.07353984],[0.08935255 0.47430102 0.38814755],[-0.32098483  0.37553287  0.16780118],[0.14910806 0.97606589 1.19323629],[ 0. -0.  0.],[0.08278805 0.04800338 0.00212383],[0. 0. 0.],0.7889678249050798,0,1.1797771446908154,[0.77271057 0.74704636 0.71639524],[0.76602547 0.7406932  0.70894337],[0.73164288 0.70660554 0.67640116],0,[0 0 0],0,[0 0 0]
